start,end,today,deviceid,phonenumber,Category,District,Tehsil,Area_Union Council,Gender,Age,Employ_No,Buy,Buy_CA,Buy_PHC,Buy_WS,Buy_Retailer,Buy_Mandi,Buy_Farmer,Buy_Other,Buy_OtherTxt,CA_Loc,CA_Peshawar,CA_Faisalabad,CA_Islamabad,CA_Rawalpindi,CA_Sargodha,CA_Sialkot,CA_Lahore,CA_Gujranwala,CA_Multan,CA_Hafizabad,CA_D.I. Khan,CA_Quetta,CA_Sukkur,CA_Khairpur,CA_Hyderabad,CA_Karachi,CA_Jacobabad,CA_Other,CA_OtherTxt,cc_sell,NA,Sell_WS,Sell_Retail,Sell_SM,Sell_Mandi,Sell_Other,Sell_OtherTxt,ECU,SemiProc,SemiProc_Wash,SemiProc_Grading,SemiProc_Waxing,SemiProc_NP,SemiProc_DK,QualCont,StorageCap,Capacity,Profit,Profit_Avg,Profit_DK,Profit_NA,Profit_AvgVal,Coord,Coord_Lat,Coord_Lon,Coord_Alt,Coord_Prec,Comments,Enumerator,_id,_uuid,_submission_time,_validation_status,_index,Sell
4/1/20 9:06,4/1/20 9:13,4/1/20,3.5328E+14,,Cold Storage Facility,Killah Abdullah,Killah Abdullah,lajbor,Male,25-40 years,8,Farmer Pre-harvest Contractor (Thakaydaar),0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,Commission Agent,1,0,0,0,0,0,,No,No semi-processing,0,0,0,1,0,No,45000,90% - 100%,Not Answered,0,0,1,,30.63961856 66.64174803 1444.0 5.0,30.63961856,66.64174803,1444,5,,Naveed Ahmed,50063890,fea06917-2fab-4666-a936-91099aedc807,4/1/20 9:23,,21,
4/1/20 5:20,4/1/20 5:24,4/1/20,3.5328E+14,,Cold Storage Facility,Killah Abdullah,Killah Abdullah,Newmajak,Male,>40 years,45,Farmer,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,Other,0,0,0,0,0,1,farmer,Yes,No semi-processing,0,0,0,1,0,No,2000,90% - 100%,Not Answered,0,0,1,,30.71633715 66.6691705 1514.0 10.0,30.71633715,66.6691705,1514,10,,Naveed Ahmed,50053912,528213fe-15c8-4ab9-8671-284e3b95fc23,4/1/20 5:25,,92,
4/2/20 12:43,4/2/20 12:47,4/2/20,290c801f12cdf685,,Cold Storage Facility,Quetta,Quetta City,Baleli,Male,>40 years,6,Farmer Pre-harvest Contractor (Thakaydaar) Commission Agent (Arthi),1,1,0,0,0,1,0,,Quetta,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Other,0,0,0,0,0,1,Farmers,No,No semi-processing,0,0,0,1,0,No,80000,70% - 89%,Not Answered,0,0,1,,30.27484819293022 66.86624254100025 1527.0 4.5,30.27484819,66.86624254,1527,4.5,,Abdul Hakeem,50133225,a45a1986-ce4e-46c9-b5aa-ad2287c608a2,4/2/20 12:50,,93,
4/1/20 5:07,4/1/20 5:13,4/1/20,3.5328E+14,,Cold Storage Facility,Killah Abdullah,Killah Abdullah,killa abdullah,Male,25-40 years,10,Farmer,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,Other,0,0,0,0,0,1,farmer,No,No semi-processing,0,0,0,1,0,No,100000,90% - 100%,Not Answered,0,0,1,,30.72450889 66.65738592 1537.0 5.0,30.72450889,66.65738592,1537,5,,Naveed Ahmed,50053604,6346ef9e-929e-41ac-b3c3-30b7b9d14f16,4/1/20 5:13,,94,
4/1/20 4:57,4/1/20 5:05,4/1/20,3.5328E+14,,Cold Storage Facility,Killah Abdullah,Killah Abdullah,killa abdullah,Male,15-24 years,9,Farmer Pre-harvest Contractor (Thakaydaar) Commission Agent (Arthi),1,1,0,0,0,1,0,,Islamabad Rawalpindi,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Commission Agent Mandi Other,1,0,0,0,1,1,farmer,No,No semi-processing,0,0,0,1,0,No,80000,90% - 100%,Not Answered,0,0,1,,30.7233538 66.6570678 1539.0 5.0,30.7233538,66.6570678,1539,5,,Naveed Ahme,50053530,262734e2-c45f-491f-8eb3-da4ff2980f94,4/1/20 5:05,,95,
4/1/20 3:56,4/1/20 4:02,4/1/20,3.5328E+14,,Cold Storage Facility,Killah Abdullah,Killah Abdullah,Maizai,Male,25-40 years,6,Farmer,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,Other Commission Agent,1,0,0,0,0,1,Farmer,No,No semi-processing,0,0,0,1,0,No,85000,90% - 100%,Not Answered,0,0,1,,30.68146079 66.71461424 1472.0 4.0,30.68146079,66.71461424,1472,4,,Naveedb Ahmed,50052589,10ccef23-7f9d-4b5a-96cf-735733a122b5,4/1/20 4:02,,98,
4/1/20 3:46,4/1/20 3:55,4/1/20,3.5328E+14,,Cold Storage Facility,Killah Abdullah,Killah Abdullah,masezai,Male,25-40 years,25,Farmer,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,Other,0,0,0,0,0,1,Farmer,No,No semi-processing,0,0,0,1,0,No,80000,90% - 100%,Not Answered,0,0,1,,30.66682883 66.72079636 1463.0 5.0,30.66682883,66.72079636,1463,5,,Naveed Ahmed,50052523,0a50a46a-696a-46c3-ad51-a207458dd5d7,4/1/20 3:55,,99,
4/1/20 3:34,4/1/20 3:43,4/1/20,3.5328E+14,,Cold Storage Facility,Killah Abdullah,Killah Abdullah,Maizai,Male,>40 years,10,Pre-harvest Contractor (Thakaydaar) Farmer,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,Commission Agent,1,0,0,0,0,0,,No,Don't Know,0,0,0,0,1,Yes,270000,90% - 100%,Not Answered,0,0,1,,30.68315151 66.71182411 1467.0 3.0,30.68315151,66.71182411,1467,3,,Naveed Ahmed,50052432,f35d3bc9-aeec-4ccd-9b15-9fe91d550a26,4/1/20 3:43,,100,
4/1/20 4:06,4/1/20 4:10,4/1/20,3.5328E+14,,Cold Storage Facility,Killah Abdullah,Killah Abdullah,Maizai ada,Male,25-40 years,10,Farmer Commission Agent (Arthi) Pre-harvest Contractor (Thakaydaar),1,1,0,0,0,1,0,,Islamabad Rawalpindi Peshawar,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Commission Agent Other,1,0,0,0,0,1,farmer,No,No semi-processing,0,0,0,1,0,No,60000,90% - 100%,Not Answered,0,0,1,,30.68176766 66.71313453 1471.0 5.0,30.68176766,66.71313453,1471,5,,Naveed Ahmed,50052653,5c23bf6e-fafe-4853-96b2-b4292ae5338c,4/1/20 4:10,,106,
4/1/20 12:09,4/1/20 12:12,4/1/20,3.5328E+14,,Cold Storage Facility,Killah Abdullah,Gulistan,abdurrahmanzai,Male,25-40 years,5,Farmer Pre-harvest Contractor (Thakaydaar),0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,Commission Agent,1,0,0,0,0,0,,No,No semi-processing,0,0,0,1,0,No,90000,90% - 100%,Average,1,0,0,9000000,30.59507785 66.62846998 1438.0 5.0,30.59507785,66.62846998,1438,5,,Naveeed ahmed,50072651,6ee049c6-222a-43f6-a9be-2d59a14f5595,4/1/20 12:12,,110,
