District,FarmSize,Prod,Buy_Prod_AvgVal,Loss_AvgVal,lossPerProd,altitudeCateg
Killah Abdullah,5 to 25 Acres,Average,8000,1500,0.1875,Lower (< 1900)
Killah Saifullah,<5 Acres,Average,10000,2000,0.2,Lower (< 1900)
Killah Saifullah,5 to 25 Acres,Average,6000,1000,0.166666667,Lower (< 1900)
Killah Saifullah,5 to 25 Acres,Average,7500,1500,0.2,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,7000,1000,0.142857143,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,9000,1000,0.111111111,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,6000,1300,0.216666667,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,2000,400,0.2,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,7000,1000,0.142857143,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,4000,1000,0.25,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,12000,2000,0.166666667,Lower (< 1900)
Killah Abdullah,5 to 25 Acres,Average,8000,5000,0.625,Lower (< 1900)
Killah Saifullah,5 to 25 Acres,Average,1800,50,0.027777778,Lower (< 1900)
Killah Saifullah,<5 Acres,Average,2500,300,0.12,Lower (< 1900)
Killah Saifullah,5 to 25 Acres,Average,6000,1200,0.2,Lower (< 1900)
Killah Saifullah,5 to 25 Acres,Average,5000,1000,0.2,Lower (< 1900)
Killah Saifullah,<5 Acres,Average,1500,50,0.033333333,Lower (< 1900)
Killah Saifullah,>25 Acres,Average,15000,2500,0.166666667,Lower (< 1900)
Killah Saifullah,5 to 25 Acres,Average,9000,1500,0.166666667,Lower (< 1900)
Killah Saifullah,>25 Acres,Average,12000,3000,0.25,Lower (< 1900)
Killah Saifullah,>25 Acres,Average,30000,5000,0.166666667,Lower (< 1900)
Killah Saifullah,>25 Acres,Average,19000,3800,0.2,Lower (< 1900)
