District,Tehsil,Kaja,Mashadi,TorKolu,ShinKulu,Amri,Other,n_obs,X,Y
Kalat,Kalat,95.1219512,20.7317073,92.6829268,67.0731707,7.31707317,3.65853659,82,66.49180732,28.97543147
Kalat,Mangocher,80,38.3333333,95,95,6.66666667,1.66666667,60,66.61484693,29.41890818
Killah Abdullah,Chaman,33.3333333,0,100,16.6666667,0,0,6,67.97582431,30.81237422
Killah Abdullah,Dobandi,27.7777778,0,100,77.7777778,0,0,18,66.96842168,31.10875687
Killah Abdullah,Gulistan,85.7142857,26.7857143,98.2142857,91.0714286,23.2142857,30.3571429,56,66.58184075,30.41624536
Killah Abdullah,Killah Abdullah,66.2650602,15.6626506,97.5903614,79.5180723,24.0963855,13.253012,83,66.72269242,30.76450725
Killah Saifullah,Killah Saifullah,100,1.66666667,90,46.6666667,1.66666667,5,60,68.54316822,30.83121761
Killah Saifullah,Loiband,82.1428571,0,92.8571429,14.2857143,0,35.7142857,28,67.84220458,31.08886114
Killah Saifullah,Muslimbagh,71.7171717,1.01010101,94.9494949,25.2525253,1.01010101,7.07070707,99,67.97090683,30.77206741
Pishin,Bashore,63.8888889,0,100,30.5555556,5.55555556,2.77777778,36,67.40836965,31.00207532
Pishin,Bostan,100,20,90,20,0,0,10,67,30.45
Pishin,Hurramzai,27.5862069,6.89655172,100,93.1034483,3.44827586,0,29,66.94085164,30.85883811
Pishin,Karezat,91.8918919,2.7027027,91.8918919,13.5135135,0,0,37,67.27586057,30.5996286
Pishin,Nana Sab,100,0,100,0,0,0,2,67.6,30.6
Pishin,Pishin,51.6129032,3.22580645,100,80.6451613,4.83870968,3.22580645,62,66.99564892,30.68329521
Quetta,Quetta City,54.2857143,0,80,42.8571429,11.4285714,2.85714286,35,66.97060351,30.22248588
